s,SA
slope,ずさんな
sloppy,塗りたくる
slosh,スロット
slot,ナマケモノ
sloth,気長な
slothful,前かがみ
slouch,スラウ
slough,スロバキア
Slovakia,スロベニア
Slovenia,遅い　
slow,速度を落とす
slowdown,もっとゆっくり
slower,最も遅い
slowest,ゆっくり
slowly,遅さ
slowness,もどかしい　
slowpoke,スラッジ
sludge,ナメクジ
slug,酔っぱらった
slugged,強打者
slugger,低迷
sluggish,水門
sluice,スラム
slum,眠り
slumber,スランプ
slump,投げ
slung,スラー
slur,啜る
slurp,不明瞭
slurred,スラリー
slurry,スラッシュ
slush,ふしだらな女
slut,ふしだらな
slutty,ずる賢い　
sly,ちゃめっ気たっぷりに
slyly,スマック
smack,叱責する
smackdown,叩かれた 
smacked,小さい　
small,より小さい
smaller,最も小さい　
smallest,小さめの
smallish,天然痘
smallpox,スモールヴィル
Smallville,お世辞たらたらの
smarmy,スマート
smart,賢く
smarter,賢い　
smartest,こぎれいに
smartly,スマッシュ
smash,破壊された
smashed,素晴らしい　
smashing,片言
smattering,塗抹
smear,塗りつけられた
smeared,スメグマチス
smegmatis,香り
smell,悪臭を放つ
smelly,製錬する
smelt,SMG
SMG,ほんの少し
smidgen,笑顔
smile,スマイリー
smiley,作り笑い
smirk,強打
smite,スミス
Smith,スミソニアン
Smithsonian,鍛冶場
smithy,殴られた
smitten,スモック
smock,スモッグ
smog,スモッグの
smoggy,煙
smoke,薫製
smoked,無煙の
smokeless,喫煙者
smoker,大煙突
smokestack,交通警官
smokey,喫煙
smoking,スモーキー
smoky,くすぶる
smolder,キス
smooch,スムーズ
smooth,滑らかな
smoother,スムージー
smoothie,スムーズに
smoothly,滑らか
smoothness,バイキング料理
smorgasbord,もみ消す
smother,くすぶる
smoulder,汚れ
smudge,独り善がりの
smug,密輸する
smuggle,密輸
smuggled,密輸業者
smuggler,密輸
smuggling,気取って
smugly,うぬぼれ
smugness,黒穂病
smut,汚れた
smutty,スナック
snack,混乱状態
snafu,思わぬ障害
snag,カタツムリ
snail,ヘビ
snake,ヘビにかまれた傷
snakebite,雷魚
snakehead,ヘビ革
snakeskin,スナップ
snap,キンギョソウ
snapdragon,鯛
snapper,癖のある
snappish,粋な
snappy,スナップショット
snapshot,スネア
snare,不機嫌な
snarky,うなり声
snarl,スナッチ
snatch,ひったくり
snatcher,おしゃれな
snazzy,スニーク
sneak,スニーカー
sneaker,卑劣な
sneaky,冷笑
sneer,冷笑
sneered,くしゃみ
sneeze,スネル
snell,Snerk
Snerk,忍び笑い
snicker,悪意に満ちた
snide,匂いを嗅ぐ
sniff,鼻をすする音
sniffle,けらけら笑う
snigger,スニップ
snip,スナイプ
snipe,スナイパー
sniper,スナイピング
sniping,スニペット
snippet,短気な
snippy,苛立ち
snit,密告者
snitch,鼻水
snivel,俗物
snob,俗物根性
snobbery,お高くとまった
snobbish,鼻持ちならない
snobby,スヌープ
snoop,スヌーピー
Snoopy,横柄な
snooty,居眠り
snooze,snope
snope,いびき
snore,スノーケル
snorkel,シュノーケル
snorkele,シュノーケリング
snorkeling,snoRNA
snoRNA,荒い鼻息
snort,鼻水
snot,薄汚い　
snotty,スナウト
snout,雪
snow,雪玉
snowball,雪だまり
snowbank,スノーボード
snowboard,雪の吹きだまり
snowdrift,雪が降った
snowed,降雪
snowfall,スノーフレーク
snowflake,雪だるま
snowman,スノーモービル
snowmobile,吹雪
snowstorm,雪に覆われた
snowy,SNP
SNP,snRNAの
snRNA,鼻であしらう
snub,snuck
snuck,スナッフ
snuff,スナッグ
snug,すり寄り
snuggle,ぴったり
snugly,そう
so,ソーク
soak,ずぶ濡れ
soaked,せっけん
soap,演説
soapbox,せっけんの
soapy,舞い上がる
soar,すすり泣き
sob,地味な
sober,ハッとするような
sobering,酔わ
soberly,節酒
sobriety,あだ名
sobriquet,南カルフォルニア
SoCal,サッカー
soccer,社交的な
sociable,ソーシャル
social,社会主義
socialism,社会主義者
socialist,社会主義的な
socialistic,社交
socialite,社会化
socialization,付き合う
socialize,社会主義化された
socialized,社会的に
socially,社会的な
societal,社会
society,社会文化的な
sociocultural,社会人口学的
sociodemographic,社会経済的な
socioeconomic,社会学的な
sociological,社会学者
sociologist,社会学
sociology,反社会的人間
sociopath,ソケット
socket,紅鮭
sockeye,ソックス
socks,ソクラテス
Socrates,ソクラテスの
Socratic,芝
sod,ソーダ
soda,ずぶぬれの
sodden,ナトリウム
sodium,ソドム
Sodom,ソドミー
sodomy,ソファ
sofa,ソフィア
Sofia,ソフト
soft,ソフトボール
softball,柔らかくする
soften,柔軟剤
softener,よりソフト
softer,気が弱い人
softie,そっと
softly,柔軟性
softness,ソフトウェア
software,人の言いなりになる人
softy,ふやけた
soggy,SOHO
SOHO,土壌
soil,大豆
soja,滞在
sojourn,sojourner
sojourner,SOL
SOL,慰め
solace,ソーラー
solar,販売
sold,はんだ
solder,兵士
soldier,唯一の
sole,破格
solecism,もっぱら
solely,厳粛な
solemn,厳粛
solemnity,厳粛に
solemnly,求める
solicit,勧誘
solicitation,事務弁護士
solicitor,良く気が付く
solicitous,solicitously
solicitously,配慮
solicitude,固体
solid,連帯
solidarity,固める
solidify,堅実性
solidity,しっかりと
solidly,独り言
soliloquy,自己中心主義
solipsism,ソリティア
solitaire,孤独な
solitary,孤独
solitude,ソロ
solo,ソリスト
soloist,ソロモン
Solomon,最高点
solstice,溶解度
solubility,可溶化
solubilized,水溶性の
soluble,溶質
solute,ソリューション
solution,解ける
solvable,溶媒和
solvation,解決する
solve,支払能力
solvency,溶剤
solvent,ソマリア
Somalia,体細胞の
somatic,地味な
somber,悲愴
sombre,ソンブレロ
sombrero,いくつかの
some,誰か
somebody,いつか
someday,何とか
somehow,誰か
someone,どこかに
someplace,宙返り
somersault,サマセット
somerset,何か
something,いつか
sometime,時々
sometimes,多少
somewhat,どこかに
somewhere,体節
somite,ソムリエ
sommelier,ソマー
sommer,傾眠
somnolence,眠い　
somnolent,息子
son,ソナー
sonar,ソナタ
sonata,歌
song,歌姫
songbird,作詞家
songwriter,ソニック
sonic,超音波処理
sonicated,超音波処理
sonication,ソネット
sonnet,坊や
sonny,ソノマ
Sonoma,ソノラ州
Sonora,鳴り響くこと
sonority,朗々
sonorous,ソンターク
sontag,ソニー
Sony,すぐに
soon,より早く
sooner,すす
soot,真実
sooth,落ち着かせる
soothe,慰め
soothed,なだめる
soothing,なだめるように
soothingly,占い師
soothsayer,すすけた
sooty,びしょぬれ
sop,ソフィア
Sophia,ソフィスティケート
sophisticate,洗練された
sophisticated,洗練
sophistication,詭弁
sophistry,2年生
sophomore,(高校･大学)2年生の
sophomoric,催眠剤
soporific,ソプラノ
soprano,吸着剤
sorbent,シャーベット
sorbet,ソーサラー
sorcerer,魔術
sorcery,浅ましい　
sordid,痛い　
sore,痛んで
sorely,痛み
soreness,ソルガム
sorghum,女子学生クラブ
sorority,栗色
sorrel,悲しみ
sorrow,悲しい　
sorrowful,悲しそうに
sorrowfully,ごめんなさい
sorry,ソート
sort,みかん
sorta,出撃
sortie,サザビーズ
Sotheby,スフレ
souffle,求められる
sought,魂
soul,魂のこもった
soulful,無情な
soulless,聞こえる
sound,サウンドバイト
soundbite,サウンディング
sounding,ぐっすりと
soundly,健全性
soundness,サウンドトラック
soundtrack,スープ
soup,酒に酔って
soupy,スーク
Souq,酸っぱい　
sour,ソース
source,ソース化
sourced,ギクシャク
soured,いつも不機嫌な人
sourpuss,南
south,サウサンプトン
Southampton,南東
southeast,南東の
southeastern,南風
southerly,サザン
southern,南部地方の人
southerner,最南端の
southernmost,南方
southward,南西
southwest,南西部の
southwestern,お土産
souvenir,ソブリン
sovereign,主権
sovereignty,ソ連
Soviet,雌豚
sow,播種
sown,SOX
SOX,大豆
soy,大豆
soybean,ソユーズ
Soyuz,SP
SP,スパ
spa,スペース
space,宇宙船
spacecraft,間隔を置いた
spaced,宇宙飛行士
spaceman,スペーサー 
spacer,宇宙船
spaceship,広々とした
spacious,スペード
spade,スパゲッティ
spaghetti,スペイン
Spain,スパム
spam,スパム業者
spammer,スパン
span,スパンデックス
spandex,スパンコール
spangled,スペイン人
Spaniard,スパニエル
spaniel,スペイン語
Spanish,たたく
spank,酔っぱらった
spanked,平手打ち
spanking,スパナ
spanner,スパー
spar,SPARC
SPARC,スペア
spare,スペアリブ
sparerib,控えめに
sparingly,スパーク
spark,輝く
sparkle,線香花火
sparkler,スパークリング
sparkling,キラキラ光る
sparkly,スパーキー
sparky,スズメ
sparrow,まばらな
sparse,まばらに
sparsely,スパルタ
Sparta,スパルタの
Spartan,けいれん
spasm,けいれん性の
spasmodic,スパッツ
spat,洪水
spate,空間的な
spatial,空間的に
spatially,小型薬さじ
spatula,スポーン
spawn,卵巣を取り去る
spay,卵巣摘出
spayed,無能　
spaz,話す
speak,スピーカー
speaker,話し中???
speaking,槍
spear,陣頭指揮を執る
spearhead,スピアマン
spearman,スペック
spec,特別な
special,専門家
specialist,専門
speciality,専門化
specialization,専門にする
specialize,専門の
specialized,特別に
specially,専門
specialty,スペシエーション
speciation,種類
species,特定
specific,具体的に
specifically,仕様
specification,特異性
specificity,仕様
specifics,特定する
specify,試料
specimen,もっともらしい　
specious,スペック
speck,スペックル
speckle,斑点の 
speckled,光景
spectacle,眼鏡
spectacles,壮大な
spectacular,見事に
spectacularly,観客
spectator,亡霊
specter,スペクター
Spector,スペクトル
spectral,亡霊
spectre,スペクトロメータ
spectrometer,分光分析
spectrometry,分光光度計
spectrophotometer,分光光度法で
spectrophotometrically,分光光度法
spectrophotometry,分光法
spectroscopy,スペクトル
spectrum,推測する
speculate,投機
speculation,投機的な
speculative,投機家
speculator,スピーチ
speech,言葉を失う
speechless,スピーチ
speechwriter,速度
speed,スピードボート
speedboat,速く
speedily,スピードメーター
speedo,スピードメーター
speedometer,スピードウェイ
speedway,クワガタソウ
speedwell,スピーディー
speedy,スペル
spell,魅了する
spellbind,魅せられた
spellbound,スペルチェック
speller,綴り
spelling,スペルト
spelt,スペンサー
Spencer,過ごす
spend,スペンダー
spender,支出
spending,浪費家
spendthrift,使用済みの
spent,精子
sperm,精子形成
spermatogenesis,精子
spermatozoon,吐き出す
spew,球
sphere,球状
spherical,括約筋
sphincter,スフィンクス
Sphinx,スパイス
spice,香辛料の効いた
spiced,スパイシー
spicy,クモ
spider,スパイダーマン
Spiderman,クモの巣
spidery,スパイダーマン
Spidey,シュピーゲル
Spiegel,熱弁
spiel,スピルバーグ
Spielberg,めかす
spiff,しゃれた
spiffy,蛇口
spigot,スパイク
spike,スパイク
spiked,フック側
spikey,スパイキー
spiky,流出
spill,こぼれること
spilling,溢出効果
spillover,余水路
spillway,こぼれた
spilt,スピン
spin,ほうれん草
spinach,脊髄の
spinal,スピンドル
spindle,細長い　
spindly,脊椎
spine,ひ弱な
spineless,スピナー
spinner,雑木林
spinney,スピニング
spinning,振り落とす
spinoff,未婚女性
spinster,とげのある
spiny,スパイラル
spiral,尖塔
spire,アルコールの
spirit,活発な
spirited,スピリチュアル
spiritual,スピリチュアリズム
spiritualism,霊性
spirituality,精神的に
spiritually,スピロヘータ
spirochete,つば(を吐く)
spit,にもかかわらず
spite,悪意のある
spiteful,スピットファイア
spitfire,スピッティング
spitting,唾
spittle,内臓の
splanchnic,スプラッシュ
splash,スプラット
splat,跳ねる
splatter,脾臓
spleen,素晴らしい　
splendid,華麗に
splendidly,splendiferous
splendiferous,素晴らしさ
splendor,素晴らしさ
splendour,脾臓の
splenic,脾細胞
splenocyte,脾腫
splenomegaly,スプライス
splice,スプライシングされた
spliced,スプライシング
splicing,スプライン
spline,スプリント
splint,破片
splinter,分裂
splintered,スプリット
split,スプリット
splits,スプリッタ
splitter,分裂
splitting,斑点
splotch,散財
splurge,SPM
SPM,台無し
spoil,損傷
spoilage,甘やかされて育った
spoiled,スポイラー
spoiler,spoilery
spoilery,戦利品
spoils,甘やかされて育った
spoilt,スポーケン
Spokane,スポークスマン
spokesman,スポークスパーソン
spokesperson,広報担当者
spokeswoman,スポンジ
sponge,スポンジボブ
spongebob,海綿状
spongiform,海綿状
spongy,スポンサー
sponsor,後援
sponsorship,自発性
spontaneity,自発
spontaneous,自発的に
spontaneously,パロディー
spoof,幽霊
spook,不気味な
spooky,スプール
spool,スプーン
spoon,spoonerism
spoonerism,スプーン一杯
spoonful,散発的な
sporadic,散発的に
sporadically,胞子
spore,スポーツ
sport,スポーツの
sporting,スポーツキャスター
sportscaster,スポーツセンター
sportscenter,スポーツマン
sportsman,スポーツマンシップ
sportsmanship,スポーツウェア
sportswear,スポーツライター
sportswriter,スポーティー
sporty,スポット
spot,非の打ちどころのない
spotless,スポットライト
spotlight,スポッティング
spotted,スポッター
spotter,むらのある
spotty,配偶者の
spousal,配偶者
spouse,注ぎ口
spout,属
spp,捻挫
sprain,捻挫
sprained,スプロール
sprawl,大の字に寝そべった
sprawled,小枝
spray,噴霧
sprayed,噴霧器
sprayer,スプレッド
spread,散布機
spreader,スプレッドシート
spreadsheet,ばか騒ぎ
spree,小枝
sprig,元気な
sprightly,春
spring,スプリングボード
springboard,スプリングフィールド
Springfield,春
springtime,弾力のある
springy,振りかける
sprinkle,スプリンクラー
sprinkler,スプリント
sprint,スプリンター
sprinter,スプライト
sprite,もやし
sprout,発芽
sprouted,トウヒ
spruce,元気な
spry,ジャガイモ
spud,スパン
spun,勇気
spunk,魅力的な
spunky,スパー
spur,私生児の
spurious,はねつける
spurn,スパート
spurt,スプートニク
sputnik,パチパチと音を立てる
sputter,スパッタリング
sputtering,痰
sputum,スパイ
spy,スパイウェア
spyware,SQ
sq,SQL
SQL,つまらないけんか
squabble,口論
squabbling,分隊
squad,戦隊
squadron,むさ苦しい　
squalid,スコール
squall,みすぼらしさ
squalor,扁平上皮
squamous,浪費
squander,平方
square,正面から
squarely,スカッシュ
squash,押しつぶされた
squashed,スクワット
squat,無断居住者
squatter,スコー
squaw,不平
squawk,キーッ
squeak,きしむ
squeaky,悲鳴
squeal,うるさい　
squeamish,スキージ
squeegee,スクイーズ
squeeze,スケルチ
squelch,爆竹
squib,squick
squick,squicked
squicked,squicky
squicky,イカ
squid,走り書き
squiggle,斜視
squint,大地主
squire,身をよじる
squirm,リス
squirrel,噴出
squirt,圧搾
squish,踏み付け
squished,フワフワ
squishy,SR
SR,SRC
SRC,SS
SS,SSC
SSC,一本鎖DNA
ssDNA,SSH
SSH,St
St,刺す
stab,突き刺すような
stabbing,安定した
stabile,安定性
stability,安定化
stabilization,安定させる
stabilize,スタビライザー
stabilizer,安定した
stable,安定
stably,スタッカート
staccato,スタック
stack,スタジアム
stadium,スタッフ
staff,スタッフ
staffer,スタッグ
stag,ステージ
stage,駅馬車
stagecoach,芝居がかった
stagey,スタグフレーション
stagflation,スタッガー
stagger,互い違いの
staggered,驚異的
staggering,ステージング
staging,よどんだ
stagnant,滞る
stagnate,停滞
stagnation,落ち着いた
staid,染色
stain,着色した
stained,染色
staining,ステンレス
stainless,階段
stair,階段
staircase,階段
stairway,階段の吹き抜け
stairwell,ステーク
stake,利害関係者
stakeholder,鍾乳石
stalactite,石筍
stalagmite,古い　
stale,こう着状態
stalemate,スターリン
Stalin,スターリングラード
Stalingrad,スターリン主義の
Stalinist,茎
stalk,ストーカー
stalker,ストーキング
stalking,露店
stall,種馬
stallion,屈強な
stalwart,雄しべ
stamen,スタンフォード
Stamford,口ごもる
stammer,スタンプ
stamp,型打ちした
stamped,殺到
stampede,スタンス
stance,止める
stanch,支柱
stanchion,立つ
stand,スタンドアロン
standalone,標準
standard,標準化
standardization,標準化する
standardize,標準化された
standardized,待機する
standby,スタンディング
standing,孤立
standoff,目立つ
standout,観点
standpoint,停止
standstill,立ち上がる
standup,スタンフォード
Stanford,スタンリー
Stanley,スタンザ
stanza,ブドウ球菌
staph,ブドウ球菌
staphylococcal,ブドウ球菌
staphylococcus,ステープル
staple,ステープラー
stapler,スター
star,右舷
starboard,スターバックス
Starbucks,でんぷん
starch,でんぷん質の
starchy,スターダム
stardom,スターダスト
stardust,凝視
stare,ヒトデ
starfish,見つめ
staring,スターク
stark,全く
starkly,スターレット
starlet,星明かり
starlight,ムクドリ
starling,スター
Starr,主演
starred,主演
starring,星明かりの
starry,宇宙船
starship,スタート
start,スターター
starter,出発
starting,驚き
startle,驚くべき
startling,驚くほどに
startlingly,起動
startup,飢餓
starvation,飢える
starve,スタッシュ
stash,静止状態
stasis,Stat
Stat,状態
state,国政
statecraft,述べた
stated,州である状態
statehood,州議会議事堂
statehouse,風格のある
stately,声明
statement,特別室
stateroom,米国
States,政治家
statesman,statesmanlike
statesmanlike,ステーツマンシップ
statesmanship,州全体にわたる
statewide,静的
static,スタチン
Statin,駅
station,定常
stationary,文房具
stationery,統計量
statistic,統計的
statistical,統計的に
statistically,統計学者
statistician,統計
statistics,統計
stats,彫像術
statuary,彫像
statue,彫像のような
statuesque,小像
statuette,身長
stature,状態
status,法律
statute,法定の
statutory,忠実な
staunch,断固として
staunchly,穴を開ける
stave,滞在
stay,滞在
staying,ステー
stays,STD
STD,代わり
stead,不動の
steadfast,断固として
steadfastly,着実に
steadily,安定した
steady,ステーキ
steak,ステーキハウス
steakhouse,盗む
steal,ステルス
stealth,こっそり
stealthily,内密の
stealthy,スチーム
steam,蒸気船
steamboat,スチーマー
steamer,強圧
steamroller,汽船
steamship,高温多湿の
steamy,スティード
steed,スチール
steel,スティール
Steele,スティーラーズ
Steelers,製鋼工
steelworker,冷酷な
steely,急な
steep,染み込ん
steeped,急勾配
steeper,最も急な
steepest,尖塔
steeple,障害物競走
steeplechase,急に
steeply,舵を取る
steer,ステアリング
steering,スタイガー
Steiger,ジョッキ
stein,恒星の
stellar,星形の
stellate,ステム
stem,悪臭
stench,ステンシル
stencil,速記者
stenographer,ステント
stent,大声の
stentorian,ステップ
step,義兄弟
stepbrother,継子
stepchild,継娘
stepdaughter,継父
stepfather,スティーブン
Stephen,継母 
stepmom,継母
stepmother,ステップ
Steppe,ステッピング
stepping,踏み石
steppingstone,継息子
stepson,段階的な
stepwise,ステレオ
stereo,ステレオタイプ
stereotype,定型
stereotyped,ありふれた
stereotypical,立体
steric,無菌の
sterile,不妊
sterility,不妊手術
sterilization,殺菌する
sterilize,スターリング
sterling,船尾
stern,厳しく
sternly,厳しさ
sternness,胸骨
sternum,ステロイド
steroid,ステロイド産の
steroidogenic,ステロール
Sterol,聴診器
stethoscope,ステットソン
stetson,スティーブ
Steve,港湾作業員
stevedore,スティーブン
Steven,スティーブンソン
Stevenson,シチュー
stew,スチュワード
steward,スチュワーデス
stewardess,管理
stewardship,スチュアート
Stewart,棒
stick,ステッカー
sticker,粘着
sticking,こだわる人
stickler,スティッキー
sticky,堅い　
stiff,固められた
stiffed,こわばる
stiffen,硬め
stiffer,堅苦しく
stiffly,剛性
stiffness,抑える
stifle,窒息
stifled,汚名
stigma,汚名を着せる
stigmatize,汚名を着せ
stigmatized,踏み段
stile,小剣
stiletto,まだ
still,静けさ
stillness,竹馬
stilt,堅苦しい　
stilted,覚醒剤
stimulant,刺激する
stimulate,刺激
stimulation,刺激
stimulator,刺激
stimulatory,刺激
stimulus,刺す
sting,スティンガー
stinger,痛烈
stinging,アカエイ
stingray,けちな
stingy,悪臭
stink,臭い
stinky,出し惜しみ
stint,茎
stipe,奨学金
stipend,規定する
stipulate,規定
stipulation,かき混ぜる
stir,攪拌
stirring,あぶみ
stirrup,ステッチ
stitch,オコジョ
stoat,確率論的な
stochastic,株式
stock,防御柵
stockade,株式仲買人
stockbroker,株主
stockholder,ストックホルム
Stockholm,ストッキング
stocking,ストックマン
stockman,備蓄
stockpile,ずんぐりした
stocky,退屈な
stodgy,ストイック
stoic,感情を表に出さない
stoical,化学量論
stoichiometry,禁欲主義
Stoicism,ストーク
stoke,機関員
stoker,鈍い　
stolid,胃
stomach,踏みつける
stomp,石
stone,石工
stonemason,石垣の
stonewall,石細工
stonework,石の多い　
stony,立っていた
stood,ぼけ役
stooge,スツール
stool,猫背
stoop,停止
stop,一時しのぎの
stopgap,ストップライト
stoplight,途中降機
stopover,杜絶
stoppage,ストッパー
stopper,停止
stopping,ストップウォッチ
stopwatch,ストレージ
storage,店
store,店先
storefront,倉庫
storehouse,店主
storekeeper,物置
storeroom,階
storey,物語で名高い　
storied,コウノトリ
stork,嵐
storm,嵐の
stormy,ストーリー
story,ストーリーブック
storybook,ストーリー展開
storyline,.物語作家
storyteller,ストーリーテリング
storytelling,スタウト
stout,ストーブ
stove,ストーブ??の煙突
stovepipe,ストウ
stow,密航者
stowaway,STP
STP,ストラドル
straddle,機銃掃射
strafe,散在
straggle,敗残兵
straggler,散在した
straggly,まっすぐ
straight,整える
straighten,まっすぐに
straightened,簡単な
straightforward,素直に
straightforwardly,緊張させる
strain,ストレーナー
strainer,海峡
strait,拘束
straitjacket,ストランド
strand,座礁させる
stranded,奇妙な
strange,妙に
strangely,ストレンジネス
strangeness,見知らぬ人
stranger,奇妙な
strangest,絞める
strangle,締め付け
stranglehold,絞殺
strangulation,ストラップ
strap,ストラップレス
strapless,ストラスブール
Strasbourg,計略
stratagem,ストラタジーン
Stratagene,戦略的
strategic,戦略
strategically,戦略家
strategist,戦略
strategy,成層
stratification,層状
stratified,階層化する
stratify,成層圏
stratosphere,地層
stratum,シュトラウス
Strauss,ストラビンスキー
Stravinsky,ストロー
straw,イチゴ
strawberry,ストレイ
stray,迷い
strayed,ストリーク
streak,ストリーム
stream,ストリーマー
streamer,スリム化
streamline,合理化された
streamlined,合理化
streamlining,ストリート
street,路面電車
streetcar,街灯
streetlight,世慣れた
streetwise,力
strength,強化する
strengthen,強化
strengthening,激しい　
strenuous,精力的に
strenuously,連鎖球菌
strep,連鎖球菌
streptococcus,ストレプトマイシン
streptomycin,ストレス
stress,ストレスの多い　
stressful,ストレッサー
stressor,ストレッチ
stretch,ストレッチャー
stretcher,伸縮性のある
stretchy,ばらまく
strew,線条体
striatal,線状の
striated,線条体
striatum,襲われた
stricken,厳しい　
strict,厳格な
stricter,最も厳しい　
strictest,厳密に
strictly,狭窄
stricture,ストライド
stride,耳障りな
strident,争い
strife,ストライキ
strike,三振
strikeout,ストライカー
striker,印象的な
striking,際立って
strikingly,文字列
string,厳しい　
stringent,ストリンガー
stringer,糸を引く
stringy,細長い一片
strip,ストライプ
stripe,縞模様の
striped,ストリッパー
stripper,ストリップショー
striptease,努力する
strive,ストロボ
strobe,ストローク
stroke,散歩
stroll,ぶらぶらする
strolled,ベビーカー
stroller,ストレム
Strom,ストロマ
stroma,間質
stromal,強い　
strong,強い
stronger,最強
strongest,拠点
stronghold,強く
strongly,有力
strongman,構造上の
structural,構造的に
structurally,構造
structure,構造化された
structured,シュトルーデル
strudel,闘争
struggle,掻き鳴らす
strum,神経質
strung,ストラット
strut,スチュアート
Stuart,切り株
stub,切株
stubble,頑固な
stubborn,頑固に
stubbornly,頑固
stubbornness,ずんぐりした
stubby,スタッコ
stucco,スタック
stuck,スタッド
stud,生徒
student,研究
studies,スタジオ
studio,学問に励む
studious,わざと
studiously,研究する
study,勉強
studying,スタッフ
stuff,息苦しい　
stuffy,台なしにする
stultify,つまずく
stumble,切り株
stump,困惑
stumped,気絶させる
stun,大きな衝撃を与えるもの
stunner,素晴らしい　
stunning,驚くほど
stunningly,スタント
stunt,仏舎利塔
stupa,ぼうっとさせる
stupefy,途方もない
stupendous,愚か
stupid,愚かな
stupidest,愚かさ
stupidity,愚かに
stupidly,昏迷
stupor,頑丈な
sturdy,チョウザメ
sturgeon,スタッター
stutter,STX
STX,麦粒腫
sty,スタイル
style,スタイルブック
stylebook,スタイリング
styling,スタイリッシュ
stylish,スタイリスト
stylist,文体の
stylistic,文体的に
stylistically,定型化された
stylized,スタイラス
stylus,邪魔する
stymie,スタイロフォーム
styrofoam,勧告
suasion,上品さ
suave,サブ
sub,スバル
subaru,原子を構成する
subatomic,被膜下の
subcapsular,下位範疇
subcategory,細胞内の
subcellular,subclade
subclade,サブクラス
subclass,サブクローン
subclone,サブクローニング
subcloned,小委員会
subcommittee,subcomplex
subcomplex,潜在意識
subconscious,無意識のうちに
subconsciously,亜大陸
subcontinent,下請け
subcontract,下請業者
subcontractor,サブカルチャー
subculture,皮下
subcutaneous,皮下に
subcutaneously,再分割する
subdivide,細分化
subdivided,再分割
subdivision,サブドメイン
subdomain,征服する
subdue,落ち着いた
subdued,亜科
subfamily,部分体
subfield,部分グラフ
subgraph,亜群
subgroup,小見出し
subhead,主題
subject,服従
subjection,主観的
subjective,主観性
subjectivity,意のままに操る
subjugate,征服
subjugation,仮定法の
subjunctive,また貸し
sublet,致死下の
sublethal,昇華させる
sublimate,昇華
sublimation,崇高な
sublime,崇高
sublimely,意識下の
subliminal,崇高
sublimity,潜水艦
submarine,潜水艦乗組員
submariner,水没
submerge,水没
submerged,潜水艇
submersible,提出
submission,従順な
submissive,提出する
submit,提出
submitted,非正規の
subnormal,次善の
suboptimal,下位
subordinate,suborn
suborn,サブパラグラフ
subparagraph,下位区分
subpart,わき筋
subplot,召喚状
subpoena,亜集団
subpopulation,下位尺度
subscale,購読する
subscribe,加入者
subscriber,添字
subscript,サブスクリプション
subscription,小区分
subsection,部分列
subsequence,続く
subsequent,その後
subsequently,従属
subservience,卑屈な
subservient,サブセット
subset,静まる
subside,子会社
subsidiary,援助する
subsidize,補助金
subsidy,生存する
subsist,生存
subsistence,部分空間
subspace,物質
substance,サブスタンダード
substandard,かなりの
substantial,実質的
substantially,立証する
substantiate,実証
substantiated,実質的な
substantive,代替
substitute,置換
substitution,基板
substrate,基層
substratum,包含する
subsume,サブシステム
subsystem,口実
subterfuge,地下の
subterranean,言外の意味
subtext,枯草菌
subtilis,スブチリシン
subtilisin,サブタイトル
subtitle,サブタイトル
subtitles,微妙
subtle,微妙な
subtler,微妙
subtlety,微妙に
subtly,引く
subtract,引き算
subtraction,負の
subtractive,サブツリー
subtree,subtribe
subtribe,亜熱帯の
subtropical,サブタイプ
subtype,サブユニット
subunit,郊外
suburb,郊外の
suburban,suburbanite
suburbanite,郊外
suburbia,郊外
suburbs,転覆
subversion,破壊する
subversive,覆す
subvert,地下鉄
subway,成功する
succeed,成功
success,成功した
successful,うまく
successfully,連続
succession,相次ぐ
successive,逐次
successively,後継者
successor,コハク酸塩
succinate,簡潔な
succinct,簡潔に
succinctly,救助
succor,サキュバス
succubus,ジューシーな
succulent,負ける
succumb,そのような
such,そのようなもの
suchlike,吸う
suck,吸い込まれた
sucked,吸盤
sucker,乳を飲む
suckle,授乳
suckling,嫌な
sucky,スクロース
sucrose,吸引
suction,スーダン
Sudan,スーダン人
Sudanese,突然
sudden,突然
suddenly,突然
suddenness,起訴する
sue,スエード
suede,スエット
suet,スエズ
Suez,苦しむ
suffer,苦しんでいる人
sufferer,苦しみ
suffering,十分　
suffice,充足
sufficiency,十分な
sufficient,十分に
sufficiently,サフィックス
suffix,窒息させる
suffocate,サフォーク
Suffolk,参政権
suffrage,いっぱいにする
suffuse,満ち
suffused,スーフィ教徒
Sufi,シュガー
sugar,サトウキビ
sugarcane,甘い　
sugary,提案する
suggest,示唆
suggested,提案
suggestion,挑発的
suggestive,スハルト
Suharto,隋
Sui,自殺の
suicidal,自殺
suicide,スイス
Suisse,適す
suit,適合
suitability,適切な
suitable,適切に
suitably,スーツケース
suitcase,スイート
suite,求婚者
suitor,硫酸塩
sulfate,硫化物
sulfide,スルホ
sulfo,スルホン酸塩
sulfonate,スルホニル尿素
sulfonylurea,スルホキシド
Sulfoxide,硫黄
sulfur,イオウの
sulfuric,不機嫌
sulk,不機嫌な
sulky,不機嫌な
sullen,サリバン
Sullivan,サリー
sully,硫黄
sulphur,スルタン
sultan,サルタン
sultanate,蒸し暑い　
sultry,合計
sum,ウルシ
sumac,スマトラ島
Sumatra,シュメール
