p,PA
porno,ポルノグラファ
pornographer,ポルノの
pornographic,ポルノ
pornography,porny
porny,多孔
porous,斑岩
porphyry,ネズミイルカ
porpoise,ポリッジ
porridge,ポルシェ
Porsche,ポート
port,ポータビリティ
portability,ポータブル
portable,ポーテージ
portage,ポータル
portal,前兆となる
portend,前兆
portent,もったいぶった
portentous,ポーター
porter,ポートフォリオ
portfolio,舷窓
porthole,ポーチコ
portico,部分
portion,ポートランド
Portland,かっぷくの良い　
portly,旅行かばん
portmanteau,ポルト市
Porto,肖像画
portrait,肖像画
portraiture,描く
portray,描写
portrayal,ポルトガル
Portugal,ポルトガル語
Portuguese,ポーズ
pose,ポセイドン
Poseidon,難問
poser,気取り屋
poseur,豪華な
posh,仮定
posit,仮定した 
posited,ポジション
position,位置の
positional,位置どり
positioning,ポジティブ
positive,正に
positively,陽性
positivity,陽電子
positron,洗濯棒で洗う
poss,捜索隊
posse,所有する
possess,所持
possession,所有格
possessive,所有者
possessor,可能性
possibility,可能
possible,たぶん
possibly,ポッサム
possum,ポスト
post,郵便料金
postage,郵便
postal,はがき
postcard,ポスター
poster,後部
posterior,後世
posterity,大学院生
postgraduate,死後の
posthumous,死後に
posthumously,感染後
postinfection,投稿
posting,郵便配達
postman,消印
postmark,ポストマスター
postmaster,閉経後
postmenopausal,ポストモダンの
postmodern,ポストモダニズム
postmodernism,ポストモダニスト 
postmodernist,検視
postmortem,生後
postnatal,術後の
postoperative,分娩後の
postpartum,延期する
postpone,延期
postponement,追記
postscript,ポストシーズン
postseason,シナプス後の
postsynaptic,外傷後の
posttraumatic,公準
postulate,仮定
postulated,姿勢の
postural,姿勢
posture,見せ掛けの行動
posturing,戦後の
postwar,花束
posy,ポット
pot,飲料
potable,カリウム
potassium,ポテト
potato,太鼓腹
potbelly,効力
potency,強力な
potent,実力
potentate,ポテンシャル
potential,潜在的に
potentially,強化する
potentiate,相乗作用
potentiation,くぼみ
pothole,薬の一服
potion,ポトラッチ
potlatch,ポットラック
potluck,ポトマック川
Potomac,ポプリ
potpourri,ポットショット
potshot,鉢植え
potted,陶工
potter,陶器
pottery,おまる
potty,アメリカ合衆国の大統領
POTUS,ポーチ
pouch,湿布
poultice,家禽
poultry,襲い掛かる
pounce,急襲
pounced,ポンド
pound,ポンド
pounder,注ぐ
pour,タラ(類)
pout,ぽってりした
pouty,貧困
poverty,捕虜
POW,粉末
powder,粉末の
powdered,粉末状の
powdery,パウエル
Powell,パワー
power,モーターボート
powerboat,パワフル
powerful,強烈に
powerfully,発電所
powerhouse,無力な
powerless,パワーポイント
powerpoint,痘
pox,ポックスウイルス
poxvirus,PP
PP,PPM
ppm,PPP
PPP,PPT
PPT,PR
PR,PRA
PRA,実用的な
practicable,実用的
practical,実用性
practicality,実際に
practically,練習
practice,練習
practicing,練習
practise,練習
practised,開業医
practitioner,プラダ
Prada,現実的
pragmatic,プラグマティズム
pragmatism,現実主義者
pragmatist,プラハ
Prague,プレイリー
Prairie,称賛
praise,称賛に値する
praiseworthy,プラリーヌ
praline,乳母車
pram,闊歩
prance,いたずら
prank,いたずら者
prankster,pratfall
pratfall,おしゃべり
prattle,エビ
prawn,祈る
pray,祈った
prayed,祈り
prayer,祈る
prayerful,前
pre,説教
preach,説教
preached,説教師
preacher,説教
preaching,説教じみた
preachy,前文
preamble,予定する
prearrange,準備組立
preassembly,前癌状態
precancer,前癌状態の
precancerous,不安定な
precarious,不安定に
precariously,用心
precaution,予防の
precautionary,先行する
precede,順位
precedence,先例
precedent,教訓
precept,教師
preceptor,境内
precinct,貴重な
precious,絶壁
precipice,沈殿させる
precipitate,降水量
precipitation,急峻な
precipitous,急激に
precipitously,正確な
precise,正確に
precisely,精度
precision,臨床前の
preclinical,排除する
preclude,早熟
precocious,先入
preconceived,先入観
preconception,前提条件
precondition,前駆体
precursor,以前に遡る
predate,捕食
predation,食肉動物
predator,略奪する
predatory,前任者
predecessor,所定の
predefined,運命づける
predetermine,苦境
predicament,述語
predicate,述語
predicative,予測する
predict,予測可能性
predictability,予測可能な
predictable,予想通り
predictably,予測
prediction,予測
predictive,予測因子
predictor,偏愛
predilection,predispose
predispose,素因
predisposed,素因
predisposition,優勢
predominance,優勢な
predominant,主に
predominantly,優勢　
predominate,主に
predominately,卓越
preeminence,傑出した
preeminent,先取りする
preempt,先制
preemptive,身づくろい
preen,前から存在する
preexisting,プレハブ
prefab,序文
preface,知事
prefect,県
prefecture,好む
prefer,好ましい　
preferable,望ましくは
preferably,優先
preference,優先的な
preferential,優先的に
preferentially,望ましい　
preferred,あらかじめ示す
prefigure,接頭辞
prefix,予め形成された
preformed,前頭葉前部の
prefrontal,神経節前の
preganglionic,妊娠
pregnancy,妊娠した
pregnant,予熱
preheat,巻き付けるのに適した
prehensile,先史時代の
prehistoric,先史時代
prehistory,プレインキュベート
preincubated,前保温
preincubation,予断
prejudge,偏見
prejudice,不利益な
prejudicial,高位聖職者
prelate,予備
preliminary,前奏曲
prelude,前癌状態の
premalignant,結婚前の
premarital,時期尚早
premature,時期尚早に
prematurely,未熟児
prematurity,premed
premed,計画的
premeditated,閉経前の
premenopausal,プレミア
premier,プレミア
premiere,前提
premise,プレミアム
premium,予感
premonition,出生前の
prenatal,プレンティス
prentice,没頭
preoccupation,夢中
preoccupied,先取りする
preoccupy,術前の
preoperative,排卵前の
preovulatory,準備
prep,プリペイドの
prepaid,準備
preparation,予備的
preparatory,準備する
prepare,準備
prepared,準備
preparedness,準備
preparing,前払い
prepay,前払い
prepayment,優勢
preponderance,前置詞
preposition,不合理
preposterous,準備された
prepped,プレッピー
preppie,良家のお坊ちゃん
preppy,前編
prequel,前提条件
prerequisite,特権
prerogative,予感
presage,長老教会
presbyterian,幼稚園
preschool,未就学児
preschooler,先見
prescience,予知
prescient,処方する
prescribe,処方箋
prescription,規範的な
prescriptive,シーズン前
preseason,プレゼンス
presence,現在
present,見苦しくない
presentable,プレゼンテーション
presentation,提示
presented,プレゼンター
presenter,現在
presently,保存
preservation,防腐剤
preservative,保存する
preserve,浮き袋
preserver,議長を務める
preside,総裁
presidency,大統領
president,大統領の
presidential,プレシディオの男たち
presidio,プレスリー
Presley,並べ替え済み
presort,事前ソート
presorted,報道する
press,さし迫った
pressing,圧力
pressure,加圧された
pressured,威信
prestige,一流の
prestigious,プレスト
presto,恐らく
presumably,推測する
presume,推定される
presumed,推定
presumption,仮定の
presumptive,おこがましい　
presumptuous,presuppose
presuppose,シナプス前の
presynaptic,プレティーン
preteen,見せ掛け
pretence,装う
pretend,ふり
pretended,プリテンダー
pretender,見せ掛け
pretense,プリテンション
pretension,思い上がった
pretentious,早産児
preterm,超自然的な
preternatural,口実
pretext,前処理
pretreated,前処理
pretreatment,公判前手続き
pretrial,きれい
prettier,きれい
prettiest,かわいらしく
prettily,かわいらしさ
prettiness,かわいい　
pretty,プレッツェル
pretzel,流行する
prevail,流行
prevalence,流行している
prevalent,言葉を濁す
prevaricate,言い逃れ
prevarication,防ぐ
prevent,予防可能な
preventable,予防
preventative,予防
prevention,予防の
preventive,プレビュー
preview,前の
previous,以前に
previously,戦前の
prewar,餌食
prey,価格
price,プライスレス
priceless,PWC
PricewaterhouseCoopers,高価な
pricey,価格設定
pricing,刺す
prick,とげ
prickle,チクチクする
prickly,プライド
pride,司祭
priest,巫女
priestess,司祭職
priesthood,聖職者の
priestly,すり
prig,堅苦しい　
prim,プリマ
prima,首位
primacy,プライマル
primal,主として
primarily,プライマリー
primary,霊長類
primate,首位の
prime,プライマー
primer,プライムタイム
primetime,原生
primeval,プライミング
priming,プリミティブ
primitive,プリミティビズム
primitivism,プリモ
primo,原初の
primordial,primp
primp,サクラソウ
primrose,一次の
primus,王子
prince,王子の
princely,王女
princess,プリンストン
Princeton,プリンシパル
principal,公国
principality,主に
principally,原則
principle,原則に基づいた 
principled,プリント
print,プリンタ
printer,印刷
printing,プリントアウト
printout,プリオン
prion,前の
prior,先験的な
priori,優先順位をつける
prioritize,優先
priority,小修道院
priory,プリズム
prism,刑務所
prison,囚人
prisoner,神経質な
prissy,初期の
pristine,プライバシー
privacy,プライベート
private,プライベーター
privateer,個人的に
privately,欠乏
privation,民営化
privatization,民営化する
privatize,特権
privilege,特権を持つ
privileged,当事者
privy,グランプリ
prix,賞
prize,賛成の
pro,プロアクティブ
proactive,アポトーシス促進
proapoptotic,確率的な
probabilistic,確率
probability,ありそうな
probable,多分
probably,発端者
proband,検認
probate,保護観察
probation,見習い
probationer,査察
probe,探針調査された
probed,誠実
probity,問題
problem,問題のある
problematic,吻
proboscis,手続きの
procedural,手順
procedure,進む
proceed,手続き
proceeding,議事録
proceedings,収益
proceeds,プロセス
process,処理
processing,行列
procession,行列の
processional,プロセッサ
processor,宣言する
proclaim,宣言
proclamation,傾向
proclivity,先延ばしにする
procrastinate,怠慢
procrastination,子を産む
procreate,プロクター
Procter,プロクター
proctor,調達する
procure,調達
procured,調達
procurement,プロキオン
Procyon,突く
prod,浪費家
prodigal,並外れた
prodigious,天才
prodigy,プロドラッグ
prodrug,を作る
produce,産の
produced,プロデューサー
producer,作成
producing,製品
product,生産
production,生産性の高い　
productive,生産的に
productively,生産性
productivity,教授
prof,不敬な
profane,冒涜
profanity,公言する
profess,公言した
professed,職業
profession,プロ
professional,プロ意識
professionalism,専門的に
professionally,教授
professor,教授の
professorial,教授の職
professorship,差し出す
proffer,習熟
proficiency,熟練した
proficient,プロフィール
profile,プロフィリン
profilin,利益
profit,採算性
profitability,有益
profitable,暴利を貪る
profiteer,浪費
profligacy,放蕩な
profligate,深い　
profound,深く
profoundly,深遠
profundity,おびただしい　
profuse,やたらと
profusely,豊富
profusion,先祖
progenitor,子孫
progeny,プロゲステロン
progesterone,プロゲスチン
progestin,予後
prognosis,予後の
prognostic,予言
prognostication,プログラム
program,プログラムの
programmatic,プログラム
programme,プログラマー
programmer,プログラミング
programming,プログラム
programs,進捗
progress,進行
progression,プログレッシブ
progressive,徐々に
progressively,禁止する
prohibit,禁止
prohibition,禁止する
prohibitive,法外
prohibitively,前炎症性 
proinflammatory,プロジェクト
project,発射体
projectile,投影
projection,映写技師
projectionist,プロジェクター
projector,原核生物
prokaryote,原核生物の
prokaryotic,プロレタリア階級の
prole,プロレタリア
proletarian,プロレタリアート
proletariat,増殖
proliferate,増殖
proliferation,増殖性の
proliferative,多作の
prolific,プロリン
proline,冗漫な
prolix,プロローグ
prologue,延ばす
prolong,延長
prolongation,長引く
prolonged,プロム
prom,プロメガ
Promega,遊歩道
promenade,プロメテウス
Prometheus,隆起
prominence,目立つ
prominent,顕著に
prominently,乱交
promiscuity,無差別
promiscuous,約束
promise,約束した
promised,有望
promising,宣伝広告
promo,岬(こう)角
promontory,を促進する
promote,プロモーター
promoter,プロモーション
promotion,昇進の
promotional,プロンプト
prompt,促すこと
prompting,速やかに
promptly,広める
promulgate,公布
promulgation,プローン
prone,突起
prong,代名詞
pronoun,発音
pronounce,顕著な
pronounced,宣告
pronouncement,発音が
pronounciation,急いで
pronto,発音
pronunciation,証拠
proof,校正する
proofread,校正者
proofreader,小道具
prop,プロパガンダ
propaganda,伝道者
propagandist,伝播する
propagate,伝播
propagated,伝播
propagation,プロパン
propane,推進する
propel,推進剤
propellant,プロペラ
propeller,性向
propensity,適切な
proper,正しく
properly,プロパティ
property,予言
prophecy,予言する
prophesy,預言者
prophet,予言的な
prophetic,予防薬
prophylactic,予防
prophylaxis,慈悲深い　
propitious,提案者
proponent,割合
proportion,比例する
proportional,比例
proportionality,比例的に
proportionally,比例した
proportionate,比例して
proportionately,釣合いのとれた
proportioned,提案
proposal,提案する
propose,提案されている
proposed,提案
proposition,提出する
propound,プロプラノロール
propranolol,プロプライエタリ
proprietary,所有者
proprietor,適否
propriety,推進
propulsion,推進
propulsive,平凡な
prosaic,prosaically
prosaically,プロセニアム
proscenium,プロシュート
prosciutto,禁止する
proscribe,禁止
proscription,散文
prose,起訴する
prosecute,起訴
prosecution,検察官
prosecutor,検察
prosecutorial,改宗する
proselytize,韻律
prosody,見通し
prospect,将来の
prospective,将来に向かって
prospectively,探鉱者
prospector,見込み
prospects,目論見書
prospectus,繁栄する
prosper,繁栄
prosperity,豊かな
prosperous,プロスタグランジン
prostaglandin,前立腺
prostate,前立腺の
prostatic,プロテーゼ
prosthesis,人工装具
prosthetic,売春婦
prostitute,売春
prostitution,なぎ倒す
prostrate,衰弱
prostration,主人公
protagonist,変幻自在な
protean,プロテアーゼ
protease,プロテアソームの
proteasomal,プロテアソーム
proteasome,守る
protect,保護された
protected,保護
protecting,保護
protection,保護貿易主義
protectionism,保護主義
protectionist,保護
protective,プロテクター
protector,保護領
protectorate,弟子
protege,タンパク質
protein,プロテイナーゼ
proteinase,プロテオバクテリア
proteobacteria,プロテオグリカン
proteoglycan,タンパク質分解
proteolysis,タンパク質分解の
proteolytic,プロテオーム
proteome,プロテオミクス
proteomic,抗議
protest,プロテスタント
protestant,プロテスタンティズム
protestantism,抗議
protestation,抗議者
protester,抗議者
protestor,プロテウス
Proteus,プロトロンビン
prothrombin,プロト
proto,プロトコル
protocol,プロトフィラメント
protofilament,プロトマー
protomer,プロトン
proton,プロトタイプ
prototype,原型的な
prototypical,原生動物
protozoan,長引く
protracted,突き出す
protrude,突起
protrusion,突起
protuberance,誇りに思う
proud,晴れ
proudest,誇らしげに
proudly,証明する
prove,実績のある
proven,来歴
provenance,ことわざ
proverb,ことわざの
proverbial,提供する
provide,提供
provided,プロビデンス
providence,プロバイダー
provider,提供
providing,州
province,地方
provinces,プロビンスタウン
Provincetown,地方の
provincial,地方色
provincialism,判明
proving,プロウイルス
provirus,規定
provision,仮
provisional,条文
provisions,条件
proviso,プロボ
Provo,工作員
provocateur,挑発
provocation,挑発的
provocative,刺激する
provoke,学長
provost,船首
prow,武勇
prowess,うろつく
prowl,不審者
prowler,近位
proximal,近似
proximate,近接
proximity,プロキシー
proxy,プロザック
prozac,上品ぶる人
prude,慎重
prudence,慎重な
prudent,プルーデンシャル
prudential,手堅く
prudently,淑女ぶり
prudery,Prudie
Prudie,上品ぶった
prudish,プルーン
prune,prurience
prurience,好色な
prurient,掻痒
pruritus,プロイセンの
Prussian,てこ
pry,詮索好きな
prying,PSA
PSA,詩編
psalm,擬似
pseudo,偽
pseudogene,シュードモナス菌
pseudomonas,ペンネーム
pseudonym,pseudoobscura
pseudoobscura,仮足
pseudopod,偽足
pseudopodium,pshaw
pshaw,ψ
psi,乾癬
psoriasis,乾癬の
psoriatic,psst
psst,PST
PST,電源ユニット 
PSU,心理学
psych,プシュケ
Psyche,ハッピーな
psyched,サイケデリック
psychedelic,精神科の
psychiatric,精神科医
psychiatrist,精神医学
psychiatry,精神的な
psychic,サイコ
psycho,精神分析学
psychoanalysis,精神分析医
psychoanalyst,精神分析の
psychoanalytic,心理的な
psychological,心理的に
psychologically,心理学者
psychologist,心理学
psychology,精神病質者
psychopath,精神病の
psychopathic,精神病
psychosis,心身の
psychosomatic,サイコセラピスト
psychotherapist,心理療法
psychotherapy,精神病の
psychotic,PT
PT,PTA
PTA,PTEN
PTEN,PTHrP
PTHrP,プトレマイオス
Ptolemy,PTSD
PTSD,PU
PU,パブ
pub,思春期
puberty,恥骨の
pubic,恥骨
pubis,パブリック
public,出版
publication,パブリシスト
publicist,広報
publicity,公表する
publicize,公に
publicly,パブリッシュ
publish,出版社
publisher,出版
publishing,プッチーニ
Puccini,puce
puce,パック
Puck,しわ
pucker,プリン
pudding,水たまり
puddle,ずんぐりした
pudgy,プエブロ
Pueblo,たわいもない
puerile,プエルトリコ
Puerto,パフ
puff,フグ
puffer,フグ
pufferfish,腫れぼったい　
puffy,パグ
pug,ボクサー
pugilist,ボクシング??の
pugilistic,好戦的な
pugnacious,吐く
puke,ピュリッツァー賞
Pulitzer,引く
pull,プーラー
puller,プーリー
pulley,引く
pulling,プルマン
pullman,プルアウト
pullout,路肩に寄せて下さい
pullover,肺の
pulmonary,パルプ
pulp,説教壇
pulpit,果肉の
pulpy,翻る
pulsate,パルス
pulse,パルス状の
pulsed,粉砕する
pulverize,ピューマ
puma,拳で殴る
pummel,ポンプ
pump,黒パン
pumpernickel,カボチャ
pumpkin,しゃれ
pun,パンチ
punch,打ち抜き
punching,パンチライン
punchline,パンチの効いた
punchy,点状の
punctate,強調する
punctuate,中断
punctuated,句読点
punctuation,パンク
puncture,パンクした
punctured,評論家
pundit,punditry
punditry,専門家
pundits,鼻にツンとくる
pungent,罰する
punish,罰すべき
punishable,罰する
punishing,罰
punishment,懲罰的な
punitive,パンジャブ
Punjab,パンク
punk,パント
punt,パンター
punter,ちっぽけな
puny,子犬
pup,蛹
pupa,蛹(さなぎ)の
pupal,瞳
pupil,人形
puppet,操り人形師
puppeteer,子犬
puppy,購入
purchase,購入者
purchaser,購買
purchasing,パデュー
Purdue,純粋な
pure,純血種の
purebred,ピューレ
puree,純粋に
purely,最も純粋な
purest,煉獄
purgatory,パージ
purge,精製
purification,精製された
purified,清浄器
purifier,浄化する
purify,純粋主義者
purist,ピューリタン
Puritan,清教徒的な
puritanical,清教徒の信仰
puritanism,純度
purity,パープル
purple,紫がかった
purplish,趣旨
purport,主張
purported,うわさによれば
purportedly,目的
purpose,目的のある
purposeful,意図的に
purposefully,意図的に
purposely,目的にかなう
purposive,鳴らす
purr,財布
purse,準拠して
pursuant,追求する
pursue,追手
pursuer,追求
pursuing,追求
pursuit,賄う
purvey,御用達
purveyor,範囲
purview,膿
pus,押す
push,手押し車
pushcart,プッシャー
pusher,だまされやすい人
pushover,腕立て伏せ
pushup,強引
pushy,弱気
pusillanimous,小娘
puss,プッシー
pussy,プッシーキャット
pussycat,置く
put,推定上の
putative,推定される
putatively,プーチン
Putin,悪臭を放つ
putrid,一揆
putsch,パット
putt,パター
putter,パテ
putty,パズル
puzzle,困惑
puzzlement,不可解な
puzzling,PVC
PVC,PW
PW,ピグミー
Pygmy,パイロン
pylon,ピロリ
pylori,平壌
Pyongyang,ピラミッド
pyramid,ピラミッド形の
pyramidal,火葬
pyre,パイロコッカス
pyrococcus,花火
pyrotechnic,花火師
pyrotechnician,花火の打上げ
pyrotechnics,ピロリドン
pyrrolidone,ピルビン酸塩
pyruvate,パイソン
python,q
