r,RA
rumination,くまなく捜す
rummage,ラミー
rummy,うわさ
rumor,うわさ
rumour,(牛の)腰肉
rump,ラムズフェルド
Rumsfeld,ラン
run,小型飛行機
runabout,言い逃れ
runaround,逃げる
runaway,流れ落ちる
rundown,ルーン文字
Rune,ランナー
runner,ランニング
running,鼻水が出る
runny,決選投票
runoff,チビ
runt,滑走路
runway,ルピー
rupee,ルピア
rupiah,破裂
rupture,農村
rural,ロシア語
RUS,策略
ruse,ラッシュ
rush,ラスク
rusk,ラッセル
Russell,あずき色
russet,ロシア
Russia,ロシア
Russian,さび
rust,素朴な
rustic,サラサラいう音
rustle,さびた
rusty,マンネリ
rut,ルタバガ
rutabaga,ルース
Ruth,冷酷な
ruthless,無慈悲
ruthlessly,無慈悲
ruthlessness,RV
RV,ルワンダ
Rwanda,ルワンダの
Rwandan,ライアン
Ryan,ライ麦
rye,s
