t,TA
Tyler,鼓膜
tympanum,ティンダル
Tyndale,ティンダル
Tyndall,タイプ
type,型キャスト
typecast,活字書体
typeface,活字に組む
typeset,タイプライター
typewriter,ネズミチフス菌
typhimurium,腸チフス
typhoid,台風
typhoon,発疹チフス
typhus,典型的な
typical,一般的に
typically,典型となる
typify,タイピング
typing,タイピスト
typist,タイプミス
typo,活版印刷の
typographical,タイポグラフィ
typography,チロシン
TYR,専制的な
tyrannical,ティラノサウルス
Tyrannosaurus,暴政
tyranny,暴君
tyrant,チロシン
tyrosine,タイソン
Tyson,u
